show_id,director
s1,Kirsten Johnson
s10,Theodore Melfi
s1000,Joe Penna
s1001,Ahishor Solomon
s1002,Curtis Graham
s1003,Gerardo Gatica
s1007,Suhas Kadav
s1008,Suhas Kadav
s1009,Suhas Kadav
s1010,Akshay Sanjeev Chavan
s1010,Sumit Das
s1014,John Madden
s1016,Edward James Olmos
s1017,Abhinay Deo
s1018,Kiran Rao
s1019,Abbas Tyrewala
s102,Chapman Way
s102,Maclain Way
s1020,Ashutosh Gowariker
s1021,Satyajit Bhatkal
s1022,Anusha Rizvi
s1022,Mahmood Farooqui
s1023,Aamir Khan
s1024,Kayoze Irani
s1024,Neeraj Ghaywan
s1024,Raj Mehta
s1024,Shashank Khaitan
s1025,Ryan Crego
s1027,Cassi Simonds
s1028,Guillermo del Toro
s103,Jason Hehir
s1030,Tony Abulu
s1031,Mae Czarina Cruz
s1032,Stefan Westerwelle
s1034,Ron Howard
s1035,Aaron Moorhead
s1035,Justin Benson
s1036,Niki Caro
s1037,Ben Foster
s1037,Mark Dennis
s1038,Taranveer Singh
s104,Yemi Amodu
s1040,TT The Artist
s1042,Keiichi Sato
s1042,Yasushi Kawamura
s1043,Glenn Weiss
s1047,Michael Civille
s1051,Ryuichi Hiroki
s1053,Paul Thomas Anderson
s1054,One9
s1055,Adriano Rudiman
s1056,Luis Valdez
s106,Lijo Jose Pellissery
s1067,Cheng Wei-hao
s1068,Pass Patthanakumjon
s1070,Buchi Babu Sana
s1071,Fredrick Munk
s1072,Suhas Kadav
s1073,Suhas Kadav
s1074,Suhas Kadav
s1075,Suhas Kadav
s1076,Caroline Sá
s1076,Chico Pereira
s1076,Deepti Kakkar
s1076,Elaine McMillion Sheldon
s1076,Fahad Mustafa
s1076,Hikaru Toda
s1076,Moyoung Jin
s1077,Suhas Kadav
s1078,Suhas Kadav
s1079,Suhas Kadav
s108,David de Vos
s1081,Zhao Ji
s1084,Jamie Babbit
s1086,Park Hoon-jung
s1087,Dare Olaitan
s1088,Hardik Mehta
s1089,Ben Falcone
s1090,Martin Desmond Roe
s1090,Travon Free
s1091,Angga Dwimas Sasongko
s1097,Steve Rolston
s1098,Shalini Kantayya
s1099,Madonne Ashwin
s1100,Enah Johnscott
s1101,Braden R. Duemmler
s1102,Cal Brunker
s1103,Steve Pink
s1104,Xiao Feng
s1105,Vince Marcello
s1106,Ricky Staub
s1107,Patrick Durham
s1107,Paul G. Volk
s1108,BB Sasore
s1109,Naseef Yusuf Izuddin
s111,Javier Gómez Santander
s111,Luis Alfaro
s1110,Appie Boudellah
s1110,Aram van de Rest
s1111,Sylvie Verheyde
s1112,Nick Moore
s1113,Alex Zamm
s1114,Roland Emmerich
s1115,Rajkumar Hirani
s1116,Rajesh Mapuskar
s1118,Lina Al Abed
s1119,James Wan
s1120,David Hackl
s1121,Takeshi Nozue
s1122,Robert Luketic
s1123,Subhash Kapoor
s1125,Ringo Lam
s1127,George Cukor
s1129,Tony Giglio
s113,Sara Colangelo
s1131,Hidenori Inoue
s1132,Hidenori Inoue
s1133,Hidenori Inoue
s1134,Don Michael Paul
s1135,Masaru Matsumoto
s1135,Shinji Aramaki
s1136,John Luessenhop
s1137,Hanung Bramantyo
s1137,Pandu Adjisurya
s1138,Bashir El Deek
s1139,Roman Polański
s114,Stephen Herek
s1140,Nelson McCormick
s1141,Mic Rodgers
s1142,Bejoy Nambiar
s1143,Shawn Rech
s1145,Peyton Reed
s1146,Julian Schnabel
s1147,Adrián García Bogliano
s1148,Jose Gomez
s115,Rahul Rawail
s1151,Jonathon Link
s1152,Blair Simmons
s1154,Justin Chadwick
s1155,John Hillcoat
s1156,Nadine Ibrahim
s1157,Roman White
s116,Jane Campion
s1160,Fermín Muguruza
s1161,Mike Hodges
s1163,Eylem Kaftan
s1165,Fernando Ayllón
s1166,Umesh Bist
s1168,Massimiliano Camaiti
s117,Nagesh Kukunoor
s1171,Aleksey Tsitsilin
s1172,Ali Tabrizi
s1173,Kagiso Lediga
s1174,Jung-ah Im
s1176,Stephen Frears
s1177,Takuma Sato
s1178,Brody Chu
s1179,Dimitri Logothetis
s118,Luke Holland
s1184,Taketoshi Sado
s1185,Li Weiran
s1186,Chinaza Onuzo
s1188,Anna Elizabeth James
s1189,Vitor Brandt
s119,Shanker Raman
s1190,Troy Miller
s1191,Liam O'Donnell
s1192,Jay Lavender
s1192,Manny Rodriguez
s1193,Farah Nabulsi
s1194,Adriano Rudiman
s1195,Walter Taylaur
s1196,Chris Smith
s1197,Alain Brunard
s1198,Tate Taylor
s1199,Ladislaus Kiraly
s12,Kongkiat Komesiri
s120,JP Habac
s1200,Oliver Stone
s1203,Hemambar Jasti
s1204,Steven Spielberg
s1205,Taylor Morden
s1208,Helena Coan
s1209,Muharrem Gülmez
s1210,Dolapo Adeleke
s1212,Mahsun Kırmızıgül
s1213,Can Ulkay
s1215,Luis Alejandro Pérez
s1216,Ketche
s1217,Erol Özlevi
s1219,Miguel Arteta
s1220,Tolga Örnek
s1221,Pablo Agüero
s1222,Mohammad Irfan Ramly
s1223,Kevin McManus
s1223,Matthew McManus
s1224,Ange Basterga
s1224,Nicolas Lopez
s1229,Gitanjali Rao
s123,Jane Campion
s1231,Halitha Shameem
s1233,Carlos Moreno
s1234,Kayode Kasum
s1235,Maribel Sánchez-Maroto
s1237,Julien Leclercq
s1238,Fajar Bustomi
s1240,Taylor Hackford
s1241,Lasse Hallström
s1242,Amy Poehler
s1243,Jared Hess
s1243,Tyler Measom
s1244,Mike Binder
s1245,Abir Sengupta
