show_id,genre
1005494,Classic Movies
1005494,Dramas
1005494,Thrillers
1008581,Classic Movies
1008581,Comedies
1008581,Cult Movies
1029730,Action & Adventure
1029730,Comedies
1064058,Comedies
1064058,Horror Movies
1064058,Sci-Fi & Fantasy
1065372,Thrillers
1067876,Classic Movies
1067876,Dramas
1145882,Action & Adventure
1145882,International Movies
1150871,Comedies
1150871,Dramas
1150871,Independent Movies
1151188,Comedies
1151188,Cult Movies
1151188,Dramas
1151375,Action & Adventure
1151721,Dramas
1151721,Thrillers
1153194,Action & Adventure
1153194,Romantic Movies
1153656,Comedies
11546798,Action & Adventure
11546798,International Movies
1171655,Comedies
1171655,International Movies
1178866,Thrillers
1179333,Comedies
1179574,Horror Movies
1179574,Sci-Fi & Fantasy
1179583,Action & Adventure
1179583,Comedies
1180086,Thrillers
1181488,Comedies
1181488,Romantic Movies
1181550,Horror Movies
1181661,Dramas
1181661,Thrillers
11819434,Comedies
11819434,Cult Movies
11819434,Dramas
11819467,Action & Adventure
11819467,Sci-Fi & Fantasy
1192866,Thrillers
1193180,Documentaries
1193180,Music & Musicals
15815343,Cult Movies
15815343,Horror Movies
15815343,Independent Movies
16914787,Comedies
16914787,Sports Movies
16944044,Action & Adventure
16944044,Comedies
16944044,Independent Movies
17016471,Action & Adventure
17236920,Dramas
17457622,Comedies
17457622,International Movies
17457622,Romantic Movies
17457962,Dramas
17457962,International Movies
17457962,Romantic Movies
17671454,Dramas
17671454,International Movies
17671454,Romantic Movies
17672040,Action & Adventure
17687959,Comedies
17687959,Sports Movies
17969262,Action & Adventure
17969262,Dramas
17969262,International Movies
18002692,Dramas
18021979,Children & Family Movies
18021979,Comedies
18066997,Comedies
18066997,Cult Movies
18907685,Classic Movies
18907685,Dramas
18907685,Thrillers
19207412,Dramas
19207412,International Movies
19207412,Music & Musicals
20077944,Action & Adventure
20077944,Dramas
20077944,International Movies
20129240,Action & Adventure
20129240,Comedies
20129240,Sci-Fi & Fantasy
20159719,Action & Adventure
20254278,Action & Adventure
20254278,International Movies
20255593,Classic Movies
20255593,Comedies
20255593,International Movies
20255837,Action & Adventure
20255837,Classic Movies
20255837,Dramas
20257393,Comedies
20257393,Dramas
20257393,International Movies
20257617,Comedies
20257617,Cult Movies
20257617,Dramas
20258084,Comedies
20258084,Cult Movies
20258084,International Movies
20557937,Action & Adventure
20557937,Sci-Fi & Fantasy
20705133,Action & Adventure
20705133,Dramas
20705133,International Movies
20712279,Action & Adventure
20712279,Dramas
20712279,International Movies
20717860,Action & Adventure
20717860,Dramas
20717860,International Movies
20764666,Comedies
20764666,Dramas
20764666,International Movies
