show_id,title,type,release_year,date_added,date_added_year,date_added_month,rating,rating_system,rating_group,is_unrated,duration,duration_value,duration_unit,description
s1,Dick Johnson Is Dead,Movie,2020,2021-09-25,2021,9,PG-13,MPAA-like,Teen,False,90 min,90,min,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
s10,The Starling,Movie,2021,2021-09-24,2021,9,PG-13,MPAA-like,Teen,False,104 min,104,min,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
s100,On the Verge,TV Show,2021,2021-09-07,2021,9,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA."
s1000,Stowaway,Movie,2021,2021-04-22,2021,4,TV-MA,TV Parental Guidelines,Mature,False,116 min,116,min,A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board.
s1001,Wild Dog,Movie,2020,2021-04-22,2021,4,TV-MA,TV Parental Guidelines,Mature,False,126 min,126,min,A brash but brilliant Indian intelligence agent leads a covert operation to nab the mastermind behind a series of attacks threatening national security.
s1002,Oloibiri,Movie,2015,2021-04-21,2021,4,TV-14,TV Parental Guidelines,Teen,False,86 min,86,min,"After drilling depletes a small village, a corporation finds more oil in the region, igniting tensions among the community."
s1003,Tell Me When,Movie,2021,2021-04-21,2021,4,TV-MA,TV Parental Guidelines,Mature,False,97 min,97,min,Workaholic Will puts his humdrum life in LA on hold to fulfill his grandpa's last wish: visiting Mexico City's most iconic sights and falling in love.
s1004,Zero,TV Show,2021,2021-04-21,2021,4,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,"A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream."
s1005,Izzy's Koala World,TV Show,2021,2021-04-20,2021,4,TV-Y,TV Parental Guidelines,Kids,False,2 Seasons,2,season,Young koala caretaker Izzy Bee and her family rescue cuddly creatures in need and help them head back into the wild on Australia’s Magnetic Island.
s1006,Keymon and Nani in Space Adventure,Movie,2013,2021-04-20,2021,4,TV-Y,TV Parental Guidelines,Kids,False,76 min,76,min,"For Rohan and his magical pal, Keymon, a trip to visit their grandmother turns into the rescue mission of a lifetime when she is kidnapped by aliens!"
s1007,Motu Patlu Dino Invasion,Movie,2018,2021-04-20,2021,4,TV-Y7,TV Parental Guidelines,Kids,False,80 min,80,min,"A time machine sends Motu and Patlu back to the dinosaur period, but the real trouble starts when the reptiles travel back to the present day with them!"
s1008,Motu Patlu in Octupus World,Movie,2017,2021-04-20,2021,4,TV-Y,TV Parental Guidelines,Kids,False,81 min,81,min,"While returning a goldfish and an octopus from an aquarium to the sea, Motu and Patlu must also save the goldfish’s family from a mean, tentacled queen."
s1009,Motu Patlu VS Robo Kids,Movie,2019,2021-04-20,2021,4,TV-Y,TV Parental Guidelines,Kids,False,84 min,84,min,"For Motu, facing off against three children becomes an unexpected challenge when he realizes they have superstrength — and a secret!"
s101,Tobot Galaxy Detectives,TV Show,2019,2021-09-07,2021,9,TV-Y7,TV Parental Guidelines,Kids,False,2 Seasons,2,season,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil."
s1010,Rudra: Secret of the Black Moon,Movie,2020,2021-04-20,2021,4,TV-Y7,TV Parental Guidelines,Kids,False,87 min,87,min,"Kid magician Rudra sets out to save Earth from the demon of Black Moon planet, but can he get the job done if his spells don’t work on enemy territory?"
s1011,Rudra: The Rise of King Pharaoh,Movie,2019,2021-04-20,2021,4,TV-Y7,TV Parental Guidelines,Kids,False,91 min,91,min,"When a malicious, resurrected mummy begins to steal the energy of young people in Mumbai, kid magician Rudra must use his special powers to stop him."
s1012,Free to Play,Movie,2014,2021-04-19,2021,4,TV-14,TV Parental Guidelines,Teen,False,76 min,76,min,This documentary follows three professional video game players as they compete in an international tournament with a million-dollar prize.
s1013,Luis Miguel - The Series,TV Show,2021,2021-04-19,2021,4,TV-MA,TV Parental Guidelines,Mature,False,2 Seasons,2,season,"This series dramatizes the life story of Mexican superstar singer Luis Miguel, who has captivated audiences in Latin America and beyond for decades."
s1014,Miss Sloane,Movie,2016,2021-04-19,2021,4,R,MPAA-like,Mature,False,132 min,132,min,A tenacious Capitol Hill lobbyist with a well-earned reputation for winning takes on the most challenging battle of her career.
s1015,PJ Masks,TV Show,2019,2021-04-19,2021,4,TV-Y,TV Parental Guidelines,Kids,False,3 Seasons,3,season,"Three 6-year-old kids who live normal lives during the day become superheroes at night, fighting crime as a team known as PJ Masks."
s1016,American Me,Movie,1992,2021-04-17,2021,4,R,MPAA-like,Mature,False,126 min,126,min,Three friends born in poverty create their own capitalist dream as powerful gang members. Time in prison makes one of them consider a fresh beginning.
s1017,Delhi Belly,Movie,2011,2021-04-17,2021,4,TV-MA,TV Parental Guidelines,Mature,False,101 min,101,min,"Three flatmates get involved in the shady business belonging to one roomie's fiancé, and discover that a global crime syndicate is gunning for them."
s1018,Dhobi Ghat (Mumbai Diaries),Movie,2010,2021-04-17,2021,4,TV-MA,TV Parental Guidelines,Mature,False,102 min,102,min,"In this intimate drama, circumstances draw together four people from different castes – which would normally preclude them from forming friendships."
s1019,Jaane Tu... Ya Jaane Na,Movie,2008,2021-04-17,2021,4,TV-14,TV Parental Guidelines,Teen,False,147 min,147,min,Soft-spoken Jai and spitfire beauty Aditi couldn't be more different – but their family and friends know that they're a perfect match.
s102,Untold: Breaking Point,Movie,2021,2021-09-07,2021,9,TV-MA,TV Parental Guidelines,Mature,False,80 min,80,min,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
s1020,Lagaan,Movie,2001,2021-04-17,2021,4,PG,MPAA-like,Family,False,224 min,224,min,"In 1890s India, an arrogant British commander challenges the harshly taxed residents of Champaner to a high-stakes cricket match."
s1021,Madness in the Desert,Movie,2004,2021-04-17,2021,4,TV-14,TV Parental Guidelines,Teen,False,141 min,141,min,"The story of making ""Lagaan,"" one of the millennium's seminal Indian films, is told from the point of view of production team member Satyajit Bhatkal."
s1022,Peepli Live,Movie,2010,2021-04-17,2021,4,TV-MA,TV Parental Guidelines,Mature,False,109 min,109,min,Two indigent farmers consider suicide so that their families can collect a government subsidy that's paid to the relatives of deceased farmers.
s1023,Taare Zameen Par,Movie,2007,2021-04-17,2021,4,PG,MPAA-like,Family,False,162 min,162,min,"When daydreamer Ishaan is sent to boarding school, an unconventional art teacher tries to help the imaginative student discover his true identity."
s1024,Ajeeb Daastaans,Movie,2021,2021-04-16,2021,4,TV-MA,TV Parental Guidelines,Mature,False,142 min,142,min,Four shorts explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.
