country,title_count,share,cumulative_share,entity_rank,hhi
United States,2610,0.36356038445465944,0.36356038445465944,1,0.16103338114849963
India,838,0.11672934949157264,0.4802897339462321,2,0.16103338114849963
United Kingdom,602,0.0838556902075498,0.5641454241537819,3,0.16103338114849963
Canada,318,0.0442958629335562,0.6084412870873381,4,0.16103338114849963
France,271,0.03774899011004318,0.6461902771973813,5,0.16103338114849963
Japan,231,0.032177183451734225,0.6783674606491156,6,0.16103338114849963
Spain,178,0.02479453962947486,0.7031620002785904,7,0.16103338114849963
South Korea,162,0.022565816966151276,0.7257278172447417,8,0.16103338114849963
Germany,151,0.021033570135116312,0.746761387379858,9,0.16103338114849963
Mexico,129,0.017969076473046384,0.7647304638529043,10,0.16103338114849963
Australia,126,0.017551190973673213,0.7822816548265775,11,0.16103338114849963
China,120,0.01671541997492687,0.7989970748015044,12,0.16103338114849963
Hong Kong,97,0.01351163114639922,0.8125087059479036,13,0.16103338114849963
Turkey,87,0.01211867948182198,0.8246273854297256,14,0.16103338114849963
Taiwan,75,0.010447137484329294,0.8350745229140548,15,0.16103338114849963
Argentina,68,0.009472071319125227,0.84454659423318,16,0.16103338114849963
Italy,67,0.009332776152667503,0.8538793703858475,17,0.16103338114849963
Brazil,66,0.00919348098620978,0.8630728513720572,18,0.16103338114849963
Belgium,66,0.00919348098620978,0.872266332358267,19,0.16103338114849963
Thailand,56,0.00780052932163254,0.8800668616798996,20,0.16103338114849963
Egypt,54,0.007521938988717091,0.8875888006686167,21,0.16103338114849963
Indonesia,52,0.007243348655801644,0.8948321493244183,22,0.16103338114849963
Philippines,47,0.006546872823513024,0.9013790221479314,23,0.16103338114849963
Denmark,38,0.005293216325393509,0.9066722384733249,24,0.16103338114849963
Netherlands,37,0.005153921158935785,0.9118261596322607,25,0.16103338114849963
Nigeria,36,0.005014625992478061,0.9168407856247387,26,0.16103338114849963
Colombia,36,0.005014625992478061,0.9218554116172167,27,0.16103338114849963
Ireland,33,0.00459674049310489,0.9264521521103216,28,0.16103338114849963
Sweden,33,0.00459674049310489,0.9310488926034265,29,0.16103338114849963
South Africa,30,0.004178854993731718,0.9352277475971582,30,0.16103338114849963
Singapore,30,0.004178854993731718,0.9394066025908899,31,0.16103338114849963
Poland,27,0.0037609694943585457,0.9431675720852485,32,0.16103338114849963
Israel,26,0.003621674327900822,0.9467892464131493,33,0.16103338114849963
New Zealand,23,0.00320378882852765,0.949993035241677,34,0.16103338114849963
Pakistan,23,0.00320378882852765,0.9531968240702047,35,0.16103338114849963
Chile,23,0.00320378882852765,0.9564006128987323,36,0.16103338114849963
Malaysia,21,0.0029251984956122023,0.9593258113943446,37,0.16103338114849963
Norway,21,0.0029251984956122023,0.9622510098899568,38,0.16103338114849963
Russia,21,0.0029251984956122023,0.9651762083855691,39,0.16103338114849963
United Arab Emirates,21,0.0029251984956122023,0.9681014068811813,40,0.16103338114849963
Switzerland,15,0.002089427496865859,0.9701908343780472,41,0.16103338114849963
Czech Republic,15,0.002089427496865859,0.9722802618749131,42,0.16103338114849963
Austria,10,0.001392951664577239,0.9736732135394903,43,0.16103338114849963
Uruguay,9,0.0012536564981195152,0.9749268700376098,44,0.16103338114849963
Lebanon,9,0.0012536564981195152,0.9761805265357293,45,0.16103338114849963
Peru,9,0.0012536564981195152,0.9774341830338488,46,0.16103338114849963
Finland,9,0.0012536564981195152,0.9786878395319683,47,0.16103338114849963
Bulgaria,8,0.0011143613316617913,0.97980220086363,48,0.16103338114849963
Greece,8,0.0011143613316617913,0.9809165621952918,49,0.16103338114849963
Luxembourg,7,0.0009750661652040675,0.9818916283604958,50,0.16103338114849963
Iceland,6,0.0008357709987463436,0.9827273993592421,51,0.16103338114849963
Morocco,6,0.0008357709987463436,0.9835631703579885,52,0.16103338114849963
Qatar,6,0.0008357709987463436,0.9843989413567348,53,0.16103338114849963
Romania,6,0.0008357709987463436,0.9852347123554811,54,0.16103338114849963
Jordan,6,0.0008357709987463436,0.9860704833542274,55,0.16103338114849963
Serbia,5,0.0006964758322886195,0.986766959186516,56,0.16103338114849963
Hungary,5,0.0006964758322886195,0.9874634350188046,57,0.16103338114849963
West Germany,5,0.0006964758322886195,0.9881599108510932,58,0.16103338114849963
Portugal,4,0.0005571806658308956,0.9887170915169241,59,0.16103338114849963
Vietnam,4,0.0005571806658308956,0.989274272182755,60,0.16103338114849963
Croatia,4,0.0005571806658308956,0.9898314528485859,61,0.16103338114849963
Iran,4,0.0005571806658308956,0.9903886335144167,62,0.16103338114849963
Soviet Union,3,0.0004178854993731718,0.9908065190137899,63,0.16103338114849963
Ukraine,3,0.0004178854993731718,0.9912244045131631,64,0.16103338114849963
Slovenia,3,0.0004178854993731718,0.9916422900125362,65,0.16103338114849963
Venezuela,3,0.0004178854993731718,0.9920601755119094,66,0.16103338114849963
Bangladesh,3,0.0004178854993731718,0.9924780610112826,67,0.16103338114849963
Cambodia,3,0.0004178854993731718,0.9928959465106557,68,0.16103338114849963
Senegal,2,0.0002785903329154478,0.9931745368435712,69,0.16103338114849963
Saudi Arabia,2,0.0002785903329154478,0.9934531271764866,70,0.16103338114849963
Zimbabwe,2,0.0002785903329154478,0.993731717509402,71,0.16103338114849963
Iraq,2,0.0002785903329154478,0.9940103078423175,72,0.16103338114849963
Ghana,2,0.0002785903329154478,0.9942888981752329,73,0.16103338114849963
Nepal,2,0.0002785903329154478,0.9945674885081484,74,0.16103338114849963
Georgia,2,0.0002785903329154478,0.9948460788410638,75,0.16103338114849963
Malta,2,0.0002785903329154478,0.9951246691739792,76,0.16103338114849963
Dominican Republic,2,0.0002785903329154478,0.9954032595068947,77,0.16103338114849963
Cyprus,1,0.0001392951664577239,0.9955425546733524,78,0.16103338114849963
Syria,1,0.0001392951664577239,0.9956818498398101,79,0.16103338114849963
Ecuador,1,0.0001392951664577239,0.9958211450062678,80,0.16103338114849963
East Germany,1,0.0001392951664577239,0.9959604401727256,81,0.16103338114849963
Uganda,1,0.0001392951664577239,0.9960997353391833,82,0.16103338114849963
Cuba,1,0.0001392951664577239,0.996239030505641,83,0.16103338114849963
Sudan,1,0.0001392951664577239,0.9963783256720987,84,0.16103338114849963
Cayman Islands,1,0.0001392951664577239,0.9965176208385564,85,0.16103338114849963
Botswana,1,0.0001392951664577239,0.9966569160050142,86,0.16103338114849963
Vatican City,1,0.0001392951664577239,0.9967962111714719,87,0.16103338114849963
Bermuda,1,0.0001392951664577239,0.9969355063379296,88,0.16103338114849963
Azerbaijan,1,0.0001392951664577239,0.9970748015043873,89,0.16103338114849963
Armenia,1,0.0001392951664577239,0.997214096670845,90,0.16103338114849963
Guatemala,1,0.0001392951664577239,0.9973533918373028,91,0.16103338114849963
Paraguay,1,0.0001392951664577239,0.9974926870037605,92,0.16103338114849963
Sri Lanka,1,0.0001392951664577239,0.9976319821702182,93,0.16103338114849963
Panama,1,0.0001392951664577239,0.9977712773366759,94,0.16103338114849963
Nicaragua,1,0.0001392951664577239,0.9979105725031336,95,0.16103338114849963
Namibia,1,0.0001392951664577239,0.9980498676695914,96,0.16103338114849963
Montenegro,1,0.0001392951664577239,0.9981891628360491,97,0.16103338114849963
Mongolia,1,0.0001392951664577239,0.9983284580025068,98,0.16103338114849963
Mauritius,1,0.0001392951664577239,0.9984677531689645,99,0.16103338114849963
