country,title_count,valid_lag_title_count,median_release_year,median_lag,p75_lag,share_recent_1y,share_recent_3y,share_recent_5y
United States,2610,2598,2016.0,1.0,6.0,0.5765973826020016,0.6801385681293303,0.7359507313317937
India,838,838,2014.5,3.0,9.0,0.3627684964200477,0.5214797136038186,0.6229116945107399
United Kingdom,602,601,2016.0,1.0,6.0,0.5008319467554077,0.6655574043261231,0.7487520798668885
Canada,318,317,2016.0,1.0,4.0,0.5457413249211357,0.7129337539432177,0.7854889589905363
France,271,271,2016.0,1.0,3.5,0.5940959409594095,0.7490774907749077,0.8265682656826568
Japan,231,229,2016.0,2.0,8.0,0.462882096069869,0.5589519650655022,0.6419213973799127
Spain,178,178,2017.0,1.0,1.0,0.8202247191011236,0.898876404494382,0.949438202247191
South Korea,162,162,2017.0,1.0,3.0,0.5617283950617284,0.8024691358024691,0.9074074074074074
Germany,151,151,2015.0,2.0,7.5,0.4503311258278146,0.6158940397350994,0.7086092715231788
Mexico,129,128,2017.0,0.0,2.0,0.6953125,0.8359375,0.8515625
Australia,126,125,2016.0,1.0,6.0,0.528,0.696,0.744
China,120,120,2017.0,1.0,3.0,0.625,0.7666666666666667,0.8166666666666667
Hong Kong,97,97,2009.0,9.0,26.0,0.1958762886597938,0.28865979381443296,0.4020618556701031
Turkey,87,87,2015.0,3.0,4.5,0.26436781609195403,0.6206896551724138,0.8160919540229885
Taiwan,75,75,2014.0,2.0,6.5,0.4533333333333333,0.5733333333333334,0.7066666666666667
Argentina,68,67,2017.0,1.0,1.0,0.7910447761194029,0.9104477611940298,0.9104477611940298
Italy,67,67,2016.0,1.0,3.0,0.6119402985074627,0.7761194029850746,0.835820895522388
Brazil,66,66,2017.5,0.0,1.0,0.8181818181818182,0.8484848484848485,0.9545454545454546
Belgium,66,66,2016.0,1.0,2.0,0.6515151515151515,0.8939393939393939,0.9545454545454546
Thailand,56,56,2015.0,3.5,8.0,0.375,0.5,0.6071428571428571
Egypt,54,54,2016.0,3.0,6.75,0.2222222222222222,0.5555555555555556,0.6481481481481481
Indonesia,52,52,2015.5,3.0,7.0,0.25,0.5961538461538461,0.6923076923076923
Philippines,47,47,2015.0,4.0,5.0,0.2127659574468085,0.48936170212765956,0.7659574468085106
Denmark,38,38,2016.0,1.0,3.0,0.5263157894736842,0.7631578947368421,0.9210526315789473
Netherlands,37,35,2016.0,1.0,2.0,0.6285714285714286,0.8571428571428571,0.9142857142857143
Nigeria,36,36,2017.0,2.0,3.0,0.4166666666666667,0.8611111111111112,0.9444444444444444
Colombia,36,36,2018.0,0.5,3.0,0.7222222222222222,0.7777777777777778,0.8055555555555556
Ireland,33,32,2016.0,1.0,3.0,0.65625,0.875,0.90625
Sweden,33,33,2016.0,1.0,3.0,0.6060606060606061,0.8484848484848485,0.9393939393939394
South Africa,30,30,2016.5,1.0,3.0,0.5666666666666667,0.7666666666666667,0.8666666666666667
Singapore,30,30,2015.5,2.5,5.0,0.4666666666666667,0.6,0.8
Poland,27,27,2016.0,2.0,35.0,0.4074074074074074,0.5555555555555556,0.5925925925925926
Israel,26,26,2016.0,1.0,2.0,0.6153846153846154,0.8461538461538461,0.9615384615384616
New Zealand,23,23,2015.0,1.0,9.5,0.5217391304347826,0.6521739130434783,0.6521739130434783
Pakistan,23,23,2016.0,2.0,2.5,0.391304347826087,0.8260869565217391,0.9565217391304348
Chile,23,23,2016.0,1.0,2.0,0.6086956521739131,0.8260869565217391,0.9130434782608695
Malaysia,21,21,2016.0,2.0,4.0,0.47619047619047616,0.6666666666666666,0.8095238095238095
Norway,21,21,2016.0,1.0,2.0,0.6190476190476191,0.9047619047619048,0.9047619047619048
Russia,21,21,2016.0,1.0,3.0,0.5714285714285714,0.8571428571428571,1.0
United Arab Emirates,21,21,2016.0,1.0,3.0,0.6666666666666666,0.7619047619047619,0.8571428571428571
Switzerland,15,15,2017.0,1.0,2.5,0.6666666666666666,0.8,0.9333333333333333
Czech Republic,15,15,2016.0,1.0,4.5,0.6,0.7333333333333333,0.7333333333333333
Austria,10,10,2017.0,1.0,2.0,0.6,1.0,1.0
Uruguay,9,9,2017.0,0.0,1.0,0.7777777777777778,1.0,1.0
Lebanon,9,9,2018.0,1.0,1.0,0.7777777777777778,1.0,1.0
Peru,9,9,2016.0,1.0,1.0,0.7777777777777778,0.8888888888888888,0.8888888888888888
Finland,9,9,2018.0,1.0,1.0,0.7777777777777778,0.8888888888888888,0.8888888888888888
Bulgaria,8,8,2016.5,1.0,3.0,0.625,0.875,1.0
Greece,8,8,2011.5,4.5,5.0,0.125,0.375,0.875
Luxembourg,7,7,2017.0,1.0,4.0,0.5714285714285714,0.7142857142857143,0.8571428571428571
Iceland,6,6,2017.0,1.0,1.0,1.0,1.0,1.0
Morocco,6,6,2015.0,3.5,4.0,0.16666666666666666,0.5,1.0
Qatar,6,6,2016.0,1.5,2.0,0.5,1.0,1.0
Romania,6,6,2015.5,3.5,4.0,0.3333333333333333,0.5,1.0
Jordan,6,6,2016.0,1.0,1.0,0.8333333333333334,1.0,1.0
Serbia,5,4,2018.0,1.0,1.25,0.75,1.0,1.0
Hungary,5,5,2016.0,1.0,2.0,0.6,0.8,1.0
West Germany,5,5,1977.0,40.0,46.0,0.0,0.0,0.0
Portugal,4,4,2016.0,1.5,2.75,0.5,0.75,1.0
Vietnam,4,4,2015.5,2.0,3.25,0.5,0.75,1.0
Croatia,4,4,2015.5,1.0,2.25,0.75,0.75,0.75
Iran,4,4,2017.0,0.5,2.75,0.75,0.75,0.75
Soviet Union,3,3,1984.0,33.0,35.5,0.0,0.0,0.0
Ukraine,3,3,2015.0,1.0,1.5,0.6666666666666666,1.0,1.0
Slovenia,3,3,2016.0,1.0,1.5,0.6666666666666666,1.0,1.0
Venezuela,3,3,2016.0,1.0,6.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
Bangladesh,3,3,2018.0,1.0,3.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
Cambodia,3,3,2017.0,1.0,2.0,0.6666666666666666,1.0,1.0
Senegal,2,2,2017.0,1.0,1.5,0.5,1.0,1.0
Saudi Arabia,2,2,2016.5,1.0,1.0,1.0,1.0,1.0
Zimbabwe,2,2,2015.5,1.5,1.75,0.5,1.0,1.0
Iraq,2,2,2016.5,2.0,2.5,0.5,1.0,1.0
Ghana,2,2,2017.5,1.5,1.75,0.5,1.0,1.0
Nepal,2,2,2017.5,0.5,0.75,1.0,1.0,1.0
