genre,title_count,valid_lag_title_count,median_release_year,median_lag,p75_lag,share_recent_1y,share_recent_3y,share_recent_5y
International Movies,2752,2752,2016.0,2.0,6.0,0.484375,0.6431686046511628,0.7307412790697675
Dramas,2427,2427,2016.0,2.0,8.0,0.4388133498145859,0.6056860321384425,0.6946847960444994
Comedies,1674,1674,2016.0,3.0,10.0,0.4187574671445639,0.5352449223416965,0.6099163679808841
International TV Shows,1351,1347,2018.0,1.0,2.0,0.6555308092056422,0.8188567186340014,0.8916109873793615
Documentaries,869,869,2017.0,1.0,2.0,0.7042577675489068,0.856156501726122,0.9021864211737629
Action & Adventure,859,858,2015.0,4.0,14.0,0.33916083916083917,0.4393939393939394,0.5337995337995338
TV Dramas,763,759,2018.0,0.0,2.0,0.7220026350461133,0.8563899868247694,0.9104084321475626
Independent Movies,756,756,2017.0,1.0,5.0,0.5013227513227513,0.705026455026455,0.7883597883597884
Children & Family Movies,641,641,2017.0,1.0,8.0,0.5210608424336973,0.6193447737909517,0.6833073322932918
Romantic Movies,616,616,2016.0,3.0,10.0,0.4025974025974026,0.5551948051948052,0.6266233766233766
TV Comedies,581,569,2018.0,0.0,2.0,0.6924428822495606,0.8084358523725835,0.8611599297012302
Thrillers,577,577,2017.0,2.0,5.0,0.49566724436741766,0.6655112651646448,0.7660311958405546
Crime TV Shows,470,467,2018.0,0.0,1.0,0.7687366167023555,0.8950749464668094,0.9528907922912205
Kids' TV,451,447,2018.0,1.0,4.0,0.6040268456375839,0.7449664429530202,0.8120805369127517
Docuseries,395,393,2018.0,0.0,2.0,0.7251908396946565,0.8447837150127226,0.905852417302799
Music & Musicals,375,375,2016.0,1.0,8.0,0.52,0.6,0.68
Romantic TV Shows,370,368,2017.0,1.0,3.0,0.5081521739130435,0.7527173913043478,0.8641304347826086
Horror Movies,357,357,2017.0,1.0,7.0,0.5070028011204482,0.6274509803921569,0.7030812324929971
Stand-Up Comedy,343,342,2017.0,0.0,0.0,0.783625730994152,0.8187134502923976,0.8567251461988304
Reality TV,255,254,2019.0,0.0,2.0,0.7283464566929134,0.8740157480314961,0.9133858267716536
British TV Shows,253,252,2017.0,1.0,3.0,0.5793650793650794,0.7579365079365079,0.8492063492063492
Sci-Fi & Fantasy,243,242,2015.0,4.0,11.0,0.359504132231405,0.45454545454545453,0.5537190082644629
Sports Movies,219,219,2017.0,1.0,4.0,0.6027397260273972,0.730593607305936,0.7853881278538812
Anime Series,176,175,2017.0,1.0,6.0,0.5257142857142857,0.6285714285714286,0.7142857142857143
Spanish-Language TV Shows,174,172,2019.0,0.0,2.0,0.7441860465116279,0.8837209302325582,0.9127906976744186
TV Action & Adventure,168,167,2019.0,0.0,1.0,0.7964071856287425,0.8802395209580839,0.8982035928143712
Korean TV Shows,151,151,2017.0,1.0,3.0,0.5364238410596026,0.7748344370860927,0.9139072847682119
Classic Movies,116,116,1975.5,44.0,54.25,0.008620689655172414,0.008620689655172414,0.008620689655172414
LGBTQ Movies,102,102,2017.5,1.0,2.0,0.6764705882352942,0.8235294117647058,0.8529411764705882
TV Mysteries,98,97,2019.0,0.0,1.0,0.8762886597938144,0.9381443298969072,0.979381443298969
Science & Nature TV,92,92,2018.0,0.0,2.0,0.717391304347826,0.8369565217391305,0.9021739130434783
TV Sci-Fi & Fantasy,84,83,2019.0,0.0,1.5,0.7469879518072289,0.8313253012048193,0.8313253012048193
TV Horror,75,75,2019.0,0.0,1.0,0.7866666666666666,0.92,0.96
Anime Features,71,71,2015.0,4.0,13.0,0.30985915492957744,0.4647887323943662,0.5774647887323944
Cult Movies,71,71,1994.0,25.0,37.0,0.04225352112676056,0.04225352112676056,0.07042253521126761
Teen TV Shows,69,69,2018.0,0.0,3.0,0.6521739130434783,0.7681159420289855,0.8115942028985508
Faith & Spirituality,65,65,2017.0,1.0,4.0,0.5384615384615384,0.676923076923077,0.8153846153846154
TV Thrillers,57,57,2019.0,0.0,1.0,0.7719298245614035,0.9122807017543859,0.9649122807017544
Movies,57,57,2015.0,3.0,5.0,0.43859649122807015,0.5964912280701754,0.7894736842105263
Stand-Up Comedy & Talk Shows,56,56,2018.0,0.0,0.0,0.8928571428571429,0.9642857142857143,0.9821428571428571
Classic & Cult TV,28,26,2009.0,6.5,24.75,0.3076923076923077,0.46153846153846156,0.5
TV Shows,16,16,2016.0,2.5,22.75,0.5,0.5,0.5625
