genre,title_count,share,cumulative_share,entity_rank,hhi
International Movies,1927,0.1409656181419166,0.1409656181419166,1,0.06163548883736137
Dramas,1623,0.11872713972201902,0.25969275786393564,2,0.06163548883736137
Comedies,1113,0.08141916605705925,0.3411119239209949,3,0.06163548883736137
International TV Shows,1001,0.07322604242867593,0.4143379663496708,4,0.06163548883736137
Documentaries,668,0.04886613021214338,0.46320409656181416,5,0.06163548883736137
TV Dramas,599,0.04381858083394294,0.5070226773957571,6,0.06163548883736137
Action & Adventure,597,0.043672275054864665,0.5506949524506218,7,0.06163548883736137
Independent Movies,552,0.04038039502560351,0.5910753474762254,8,0.06163548883736137
TV Comedies,436,0.031894659839063644,0.6229700073152891,9,0.06163548883736137
Thrillers,392,0.028675932699341624,0.6516459400146307,10,0.06163548883736137
Children & Family Movies,378,0.02765179224579371,0.6792977322604244,11,0.06163548883736137
Romantic Movies,376,0.027505486466715436,0.7068032187271399,12,0.06163548883736137
Crime TV Shows,363,0.026554498902706655,0.7333577176298466,13,0.06163548883736137
Kids' TV,328,0.02399414776883687,0.7573518653986835,14,0.06163548883736137
Stand-Up Comedy,281,0.02055596196049744,0.777907827359181,15,0.06163548883736137
Docuseries,279,0.020409656181419166,0.7983174835406002,16,0.06163548883736137
Romantic TV Shows,278,0.02033650329188003,0.8186539868324803,17,0.06163548883736137
Horror Movies,262,0.01916605705925384,0.8378200438917341,18,0.06163548883736137
Music & Musicals,243,0.01777615215801024,0.8555961960497444,19,0.06163548883736137
British TV Shows,210,0.015362106803218726,0.870958302852963,20,0.06163548883736137
Sci-Fi & Fantasy,193,0.014118507681053402,0.8850768105340164,21,0.06163548883736137
Sports Movies,157,0.011485003657644478,0.8965618141916609,22,0.06163548883736137
Reality TV,153,0.011192392099487929,0.9077542062911489,23,0.06163548883736137
Korean TV Shows,132,0.009656181419166058,0.9174103877103149,24,0.06163548883736137
TV Action & Adventure,126,0.009217264081931235,0.9266276517922462,25,0.06163548883736137
Spanish-Language TV Shows,117,0.008558888076079005,0.9351865398683251,26,0.06163548883736137
Anime Series,117,0.008558888076079005,0.9437454279444041,27,0.06163548883736137
Classic Movies,84,0.006144842721287491,0.9498902706656915,28,0.06163548883736137
TV Mysteries,69,0.005047549378200439,0.9549378200438919,29,0.06163548883736137
TV Sci-Fi & Fantasy,68,0.004974396488661302,0.9599122165325532,30,0.06163548883736137
Science & Nature TV,67,0.0049012435991221655,0.9648134601316753,31,0.06163548883736137
LGBTQ Movies,60,0.0043891733723482075,0.9692026335040236,32,0.06163548883736137
Movies,56,0.004096561814191661,0.9732991953182153,33,0.06163548883736137
Cult Movies,55,0.004023408924652524,0.9773226042428678,34,0.06163548883736137
TV Horror,54,0.003950256035113387,0.9812728602779811,35,0.06163548883736137
Faith & Spirituality,47,0.0034381858083394295,0.9847110460863205,36,0.06163548883736137
Anime Features,45,0.0032918800292611556,0.9880029261155817,37,0.06163548883736137
TV Thrillers,44,0.003218727139722019,0.9912216532553038,38,0.06163548883736137
Teen TV Shows,44,0.003218727139722019,0.9944403803950258,39,0.06163548883736137
Stand-Up Comedy & Talk Shows,42,0.0030724213606437454,0.9975128017556696,40,0.06163548883736137
Classic & Cult TV,24,0.0017556693489392831,0.9992684711046089,41,0.06163548883736137
TV Shows,10,0.000731528895391368,1.0000000000000002,42,0.06163548883736137
