type,genre,title_count,group_total,share_within_group,rank_within_group
Movie,International Movies,1927,9109,0.21154901745526403,1
Movie,Dramas,1623,9109,0.17817543089252388,2
Movie,Comedies,1113,9109,0.12218684817213744,3
Movie,Documentaries,668,9109,0.07333406521023164,4
Movie,Action & Adventure,597,9109,0.06553957624327589,5
Movie,Independent Movies,552,9109,0.06059940717971237,6
Movie,Thrillers,392,9109,0.04303436162037545,7
Movie,Children & Family Movies,378,9109,0.041497420133933476,8
Movie,Romantic Movies,376,9109,0.04127785706444176,9
Movie,Stand-Up Comedy,281,9109,0.030848611263585464,10
Movie,Horror Movies,262,9109,0.028762762103414205,11
Movie,Music & Musicals,243,9109,0.026676912943242946,12
Movie,Sci-Fi & Fantasy,193,9109,0.021187836205950158,13
Movie,Sports Movies,157,9109,0.017235700955099353,14
Movie,Classic Movies,84,9109,0.009221648918651883,15
Movie,LGBTQ Movies,60,9109,0.006586892084751344,16
Movie,Movies,56,9109,0.006147765945767922,17
Movie,Cult Movies,55,9109,0.006037984411022066,18
Movie,Faith & Spirituality,47,9109,0.00515973213305522,19
Movie,Anime Features,45,9109,0.004940169063563509,20
TV Show,International TV Shows,1001,4561,0.21946941460206096,1
TV Show,TV Dramas,599,4561,0.13133084849813637,2
TV Show,TV Comedies,436,4561,0.09559307169480377,3
TV Show,Crime TV Shows,363,4561,0.07958780969085727,4
TV Show,Kids' TV,328,4561,0.07191405393554046,5
TV Show,Docuseries,279,4561,0.06117079587809691,6
TV Show,Romantic TV Shows,278,4561,0.06095154571365929,7
TV Show,British TV Shows,210,4561,0.0460425345319009,8
TV Show,Reality TV,153,4561,0.03354527515895637,9
TV Show,Korean TV Shows,132,4561,0.02894102170576628,10
TV Show,TV Action & Adventure,126,4561,0.02762552071914054,11
TV Show,Anime Series,117,4561,0.02565226923920193,12
TV Show,Spanish-Language TV Shows,117,4561,0.02565226923920193,13
TV Show,TV Mysteries,69,4561,0.01512826134619601,14
TV Show,TV Sci-Fi & Fantasy,68,4561,0.014909011181758386,15
TV Show,Science & Nature TV,67,4561,0.014689761017320764,16
TV Show,TV Horror,54,4561,0.01183950887963166,17
TV Show,TV Thrillers,44,4561,0.009647007235255427,18
TV Show,Teen TV Shows,44,4561,0.009647007235255427,19
TV Show,Stand-Up Comedy & Talk Shows,42,4561,0.00920850690638018,20
TV Show,Classic & Cult TV,24,4561,0.00526200394650296,21
TV Show,TV Shows,10,4561,0.0021925016443762333,22
