entity_a,entity_b,pair_count,expected_count,lift,pair_share_of_titles,entity_a_title_count,entity_b_title_count
International TV Shows,TV Dramas,514,117.04473714091064,4.391483227316691,0.058362666061087774,1351,763
Dramas,Independent Movies,588,208.33564210287273,2.8223687222451126,0.06676507323719769,2427,756
International TV Shows,TV Comedies,240,89.1258090155558,2.6928226812293055,0.027251050300897015,1351,581
Comedies,Romantic Movies,277,117.08686272283411,2.3657649847165976,0.03145225388895197,1674,616
Children & Family Movies,Comedies,270,121.83876461905302,2.2160434804488953,0.03065743158850914,641,1674
TV Comedies,TV Dramas,106,50.33530146474396,2.1058779209705323,0.012035880549562847,581,763
Dramas,International Movies,1483,758.3858294538435,1.9554690269832602,0.16838878165095947,2427,2752
International Movies,Romantic Movies,372,192.4868854320427,1.9325991958622772,0.04223912796639037,2752,616
Dramas,Romantic Movies,308,169.75496763937778,1.8143798928718582,0.0349721812194845,2427,616
Dramas,Thrillers,256,159.00749403883276,1.609987010659257,0.02906778698762348,2427,577
Comedies,International Movies,804,523.0893607357783,1.5370222764024342,0.091291018508005,1674,2752
International Movies,Thrillers,272,180.30021573748155,1.5085949780339365,0.030884523674349948,2752,577
Action & Adventure,International Movies,398,268.41921199046214,1.482755265722717,0.045191325082320884,859,2752
Independent Movies,Thrillers,70,49.530146474395366,1.413280698376019,0.007948223004428295,756,577
Comedies,Independent Movies,194,143.69751334166006,1.3500581568084553,0.02202793232655842,1674,756
Independent Movies,International Movies,292,236.23390484841605,1.2360630460194413,0.03315544453275803,756,2752
Action & Adventure,Comedies,183,163.275349154082,1.1208060552196644,0.02077892585443397,859,1674
Documentaries,International Movies,296,271.54399909163163,1.090062755907619,0.03360962870443965,869,2752
Comedies,Dramas,502,461.31463608493243,1.0881943921405888,0.05700011354604292,1674,2427
Action & Adventure,Dramas,230,236.71999545815828,0.9716120497334747,0.026115589871692973,859,2427
Independent Movies,Romantic Movies,32,52.877938003860564,0.6051673194530337,0.003633473373452935,756,616
Children & Family Movies,Dramas,89,176.6443737935733,0.5038371621391432,0.010105597819915976,641,2427
Action & Adventure,Independent Movies,36,73.73725445668218,0.4882199678474417,0.004087657545134552,859,756
Action & Adventure,Children & Family Movies,26,62.520608606790056,0.41586287432871005,0.0029521971159305097,859,641
Children & Family Movies,Romantic Movies,17,44.834336323379134,0.37917367344044406,0.0019302827296468717,641,616
Children & Family Movies,Documentaries,17,63.248438741909844,0.2687813381349984,0.0019302827296468717,641,869
Action & Adventure,Romantic Movies,16,60.08220733507437,0.26630180064405906,0.0018167366867264676,859,616
Action & Adventure,Thrillers,9,56.27830135119791,0.15991953886164034,0.001021914386283638,859,577
Children & Family Movies,International Movies,25,200.2988531849665,0.12481349544679461,0.0028386510730101055,641,2752
Children & Family Movies,Independent Movies,6,55.023958215056204,0.10904340935542184,0.0006812762575224253,641,756
Romantic Movies,Thrillers,4,40.35789712728511,0.09911319183416237,0.0004541841716816169,616,577
Action & Adventure,Documentaries,7,84.75882820483706,0.08258726728834744,0.0007948223004428296,859,869
Comedies,Thrillers,8,109.6738957647326,0.07294351991618162,0.0009083683433632338,1674,577
Comedies,Documentaries,3,165.17610991256956,0.01816243282147733,0.00034063812876121267,1674,869
Documentaries,Dramas,3,239.4757579198365,0.012527364047446662,0.00034063812876121267,869,2427
Action & Adventure,International TV Shows,0,131.77120472351538,0.0,0.0,859,1351
Action & Adventure,TV Comedies,0,56.66844555467242,0.0,0.0,859,581
Action & Adventure,TV Dramas,0,74.42000681276258,0.0,0.0,859,763
Children & Family Movies,International TV Shows,0,98.32985125468377,0.0,0.0,641,1351
Children & Family Movies,TV Comedies,0,42.28693085045986,0.0,0.0,641,581
Children & Family Movies,TV Dramas,0,55.53343930964006,0.0,0.0,641,763
Children & Family Movies,Thrillers,0,41.99579879641195,0.0,0.0,641,577
Comedies,International TV Shows,0,256.79277847167026,0.0,0.0,1674,1351
Comedies,TV Comedies,0,110.43420006812762,0.0,0.0,1674,581
Comedies,TV Dramas,0,145.02804587260135,0.0,0.0,1674,763
Documentaries,Independent Movies,0,74.59566254116044,0.0,0.0,869,756
Documentaries,International TV Shows,0,133.30521176337004,0.0,0.0,869,1351
Documentaries,Romantic Movies,0,60.78165095946406,0.0,0.0,869,616
Documentaries,TV Comedies,0,57.328148064039965,0.0,0.0,869,581
Documentaries,TV Dramas,0,75.28636312024526,0.0,0.0,869,763
Documentaries,Thrillers,0,56.933462018848644,0.0,0.0,869,577
Dramas,International TV Shows,0,372.30350857272623,0.0,0.0,2427,1351
Dramas,TV Comedies,0,160.10979902350402,0.0,0.0,2427,581
Dramas,TV Dramas,0,210.26467582604747,0.0,0.0,2427,763
Independent Movies,International TV Shows,0,115.97093221301238,0.0,0.0,756,1351
Independent Movies,TV Comedies,0,49.87350970818667,0.0,0.0,756,581
Independent Movies,TV Dramas,0,65.49653684569093,0.0,0.0,756,763
International Movies,International TV Shows,0,422.15873736800273,0.0,0.0,2752,1351
International Movies,TV Comedies,0,181.55013057794935,0.0,0.0,2752,581
International Movies,TV Dramas,0,238.4212558192347,0.0,0.0,2752,763
International TV Shows,Romantic Movies,0,94.49483365504712,0.0,0.0,1351,616
International TV Shows,Thrillers,0,88.51220619961394,0.0,0.0,1351,577
Romantic Movies,TV Comedies,0,40.63767457704099,0.0,0.0,616,581
Romantic Movies,TV Dramas,0,53.36754854093335,0.0,0.0,616,763
TV Comedies,Thrillers,0,38.064834790507554,0.0,0.0,581,577
TV Dramas,Thrillers,0,49.98875894175088,0.0,0.0,763,577
