country,rating_group,title_count,group_total,share_within_group,rank_within_group
Canada,Mature,124,318,0.389937106918239,1
Canada,Family,66,318,0.20754716981132076,2
Canada,Teen,62,318,0.1949685534591195,3
Canada,Kids,55,318,0.17295597484276728,4
Canada,Unknown / Unrated,11,318,0.03459119496855346,5
France,Mature,142,271,0.5239852398523985,1
France,Teen,52,271,0.1918819188191882,2
France,Family,34,271,0.12546125461254612,3
France,Kids,29,271,0.1070110701107011,4
France,Unknown / Unrated,14,271,0.05166051660516605,5
Germany,Mature,71,151,0.47019867549668876,1
Germany,Teen,41,151,0.271523178807947,2
Germany,Family,27,151,0.17880794701986755,3
Germany,Unknown / Unrated,7,151,0.046357615894039736,4
Germany,Kids,5,151,0.033112582781456956,5
India,Teen,445,838,0.5310262529832935,1
India,Mature,202,838,0.24105011933174225,2
India,Family,156,838,0.18615751789976134,3
India,Unknown / Unrated,24,838,0.028639618138424822,4
India,Kids,11,838,0.013126491646778043,5
Japan,Teen,99,231,0.42857142857142855,1
Japan,Mature,56,231,0.24242424242424243,2
Japan,Family,32,231,0.13852813852813853,3
Japan,Kids,31,231,0.1341991341991342,4
Japan,Unknown / Unrated,13,231,0.05627705627705628,5
Mexico,Mature,76,129,0.5891472868217055,1
Mexico,Teen,27,129,0.20930232558139536,2
Mexico,Family,13,129,0.10077519379844961,3
Mexico,Unknown / Unrated,8,129,0.06201550387596899,4
Mexico,Kids,5,129,0.03875968992248062,5
South Korea,Teen,74,162,0.4567901234567901,1
South Korea,Mature,52,162,0.32098765432098764,2
South Korea,Kids,19,162,0.11728395061728394,3
South Korea,Family,13,162,0.08024691358024691,4
South Korea,Unknown / Unrated,4,162,0.024691358024691357,5
Spain,Mature,121,178,0.6797752808988764,1
Spain,Teen,29,178,0.16292134831460675,2
Spain,Family,15,178,0.08426966292134831,3
Spain,Unknown / Unrated,10,178,0.056179775280898875,4
Spain,Kids,3,178,0.016853932584269662,5
United Kingdom,Mature,281,602,0.46677740863787376,1
United Kingdom,Teen,154,602,0.2558139534883721,2
United Kingdom,Family,128,602,0.21262458471760798,3
United Kingdom,Kids,20,602,0.03322259136212625,4
United Kingdom,Unknown / Unrated,19,602,0.03156146179401993,5
United States,Mature,1136,2610,0.43524904214559385,1
United States,Teen,666,2610,0.25517241379310346,2
United States,Family,502,2610,0.19233716475095786,3
United States,Kids,198,2610,0.07586206896551724,4
United States,Unknown / Unrated,108,2610,0.041379310344827586,5
