source,target,weight
John Paul Tremblay,Robb Wells,15
Eric Idle,John Cleese,14
Eric Idle,Michael Palin,14
Eric Idle,Terry Jones,14
John Cleese,Michael Palin,14
John Cleese,Terry Jones,14
Michael Palin,Terry Jones,14
Andrea Libman,Ashleigh Ball,12
Daisuke Ono,Yuki Kaji,12
Kathleen Barr,Vincent Tong,11
Alessandro Juliani,Vincent Tong,11
Takahiro Sakurai,Yuki Kaji,11
Kate Higgins,Laura Bailey,10
Diana Kaarina,Vincent Tong,10
Erin Fitzgerald,Kate Higgins,10
Erin Fitzgerald,Laura Bailey,9
Alessandro Juliani,Diana Kaarina,9
Ashleigh Ball,Tabitha St. Germain,9
Alessandro Juliani,Andrea Libman,9
Mamoru Miyano,Yuki Kaji,9
Mamoru Miyano,Takahiro Sakurai,9
Debi Derryberry,Kate Higgins,9
Daisuke Ono,Takahiro Sakurai,9
Andrea Libman,Diana Kaarina,9
Alessandro Juliani,Kathleen Barr,9
Tabitha St. Germain,Tara Strong,8
Andrea Libman,Tara Strong,8
Andrea Libman,Tabitha St. Germain,8
Andrea Libman,Vincent Tong,8
Takahiro Sakurai,Tomokazu Sugita,8
Ashleigh Ball,Tara Strong,8
Kana Hanazawa,Yuki Kaji,7
Diana Kaarina,Kathleen Barr,7
Tomokazu Sugita,Yuki Kaji,7
Andrea Libman,Kathleen Barr,7
Daisuke Ono,Tomokazu Sugita,7
Kana Hanazawa,Takahiro Sakurai,7
Debi Derryberry,Erin Fitzgerald,7
Daisuke Ono,Mamoru Miyano,6
Ashleigh Ball,Brian Drummond,6
Daisuke Ono,Kana Hanazawa,6
Kana Hanazawa,Mamoru Miyano,6
Debi Derryberry,Laura Bailey,6
Kana Hanazawa,Tomokazu Sugita,5
Hiroshi Kamiya,Yuki Kaji,5
Daisuke Ono,Hiroshi Kamiya,5
Akshay Kumar,Anupam Kher,5
Boman Irani,Shah Rukh Khan,5
Anupam Kher,Rajpal Yadav,4
Akshay Kumar,Rajpal Yadav,4
Tabitha St. Germain,Vincent Tong,4
Kareena Kapoor,Om Puri,4
Akshay Kumar,Paresh Rawal,4
Andrea Libman,Brian Drummond,4
Brian Drummond,Vincent Tong,4
Mamoru Miyano,Tomokazu Sugita,4
Naseeruddin Shah,Shah Rukh Khan,4
Anupam Kher,Manoj Bajpayee,4
Asrani,Paresh Rawal,4
Erin Fitzgerald,Fred Tatasciore,3
Ashleigh Ball,Vincent Tong,3
Amrish Puri,Kareena Kapoor,3
Gulshan Grover,Jackie Shroff,3
Amrish Puri,Om Puri,3
Anupam Kher,Salman Khan,3
Diana Kaarina,Tabitha St. Germain,3
Akshay Kumar,Kareena Kapoor,3
Akshay Kumar,Manoj Bajpayee,3
Anupam Kher,Shah Rukh Khan,3
Om Puri,Paresh Rawal,3
Om Puri,Rajpal Yadav,3
Boman Irani,Paresh Rawal,3
Paresh Rawal,Rajpal Yadav,3
Boman Irani,Kareena Kapoor,3
Om Puri,Shah Rukh Khan,3
Akshay Kumar,Asrani,3
Asrani,Rajpal Yadav,3
Anupam Kher,Naseeruddin Shah,3
Amitabh Bachchan,Manoj Bajpayee,3
Ajay Devgn,Manoj Bajpayee,3
Hiroshi Kamiya,Kana Hanazawa,3
Fred Tatasciore,Laura Bailey,3
