director,cast_member,title_count
S.S. Rajamouli,Prabhas,7
S.S. Rajamouli,Tamannaah Bhatia,7
S.S. Rajamouli,Sathyaraj,7
S.S. Rajamouli,Rana Daggubati,7
S.S. Rajamouli,Ramya Krishnan,7
S.S. Rajamouli,Nassar,7
S.S. Rajamouli,Anushka Shetty,7
Hakan Algül,Ata Demirer,6
Yılmaz Erdoğan,Yılmaz Erdoğan,6
Tilak Shetty,Smita Malhotra,6
John Paul Tremblay,John Paul Tremblay,5
Martin Scorsese,Harvey Keitel,5
Omoni Oboli,Omoni Oboli,5
John Paul Tremblay,Mike Smith,5
Ishi Rudell,Tara Strong,5
Ishi Rudell,Tabitha St. Germain,5
Ishi Rudell,Andrea Libman,5
Ishi Rudell,Rebecca Shoichet,5
Ishi Rudell,Ashleigh Ball,5
John Paul Tremblay,Pat Roach,5
Robb Wells,Robb Wells,5
Robb Wells,John Paul Tremblay,5
Robb Wells,Mike Smith,5
Robb Wells,Pat Roach,5
Mike Smith,Robb Wells,5
