date_added_year,genre,title_count,year_total,share_within_year
2008,Dramas,1,2,0.5
2008,Independent Movies,1,2,0.5
2009,Dramas,1,2,0.5
2009,International Movies,1,2,0.5
2011,Dramas,13,14,0.9285714285714286
2011,International Movies,1,14,0.07142857142857142
2012,Comedies,2,3,0.6666666666666666
2012,Documentaries,1,3,0.3333333333333333
2013,TV Dramas,4,7,0.5714285714285714
2013,Comedies,1,7,0.14285714285714285
2013,Documentaries,1,7,0.14285714285714285
2013,International TV Shows,1,7,0.14285714285714285
2014,Documentaries,8,16,0.5
2014,TV Dramas,3,16,0.1875
2014,Comedies,2,16,0.125
2014,International Movies,2,16,0.125
2014,Action & Adventure,1,16,0.0625
2015,Documentaries,13,67,0.19402985074626866
2015,Comedies,12,67,0.1791044776119403
2015,Dramas,12,67,0.1791044776119403
2015,International Movies,10,67,0.14925373134328357
2015,TV Dramas,8,67,0.11940298507462686
2015,Independent Movies,7,67,0.1044776119402985
2015,International TV Shows,3,67,0.04477611940298507
2015,Action & Adventure,2,67,0.029850746268656716
2016,International TV Shows,86,441,0.19501133786848074
2016,International Movies,82,441,0.18594104308390022
2016,Documentaries,68,441,0.15419501133786848
2016,Dramas,65,441,0.1473922902494331
2016,Comedies,48,441,0.10884353741496598
2016,TV Dramas,43,441,0.09750566893424037
2016,Independent Movies,31,441,0.07029478458049887
2016,Action & Adventure,18,441,0.04081632653061224
2017,International Movies,395,1619,0.24397776405188387
2017,Dramas,293,1619,0.18097591105620753
2017,Documentaries,206,1619,0.1272390364422483
2017,International TV Shows,205,1619,0.1266213712168005
2017,Comedies,177,1619,0.10932674490426189
2017,TV Dramas,130,1619,0.08029647930821494
2017,Independent Movies,116,1619,0.07164916615194565
2017,Action & Adventure,97,1619,0.05991352686843731
2018,International Movies,668,2322,0.2876830318690784
2018,Dramas,531,2322,0.22868217054263565
2018,Comedies,297,2322,0.12790697674418605
2018,International TV Shows,214,2322,0.0921619293712317
2018,Action & Adventure,173,2322,0.07450473729543497
2018,Documentaries,167,2322,0.0719207579672696
2018,Independent Movies,163,2322,0.07019810508182601
2018,TV Dramas,109,2322,0.04694229112833764
2019,International Movies,610,2684,0.22727272727272727
2019,Dramas,564,2684,0.21013412816691504
2019,Comedies,420,2684,0.15648286140089418
2019,International TV Shows,335,2684,0.12481371087928465
2019,Action & Adventure,202,2684,0.07526080476900149
2019,Independent Movies,201,2684,0.0748882265275708
2019,Documentaries,188,2684,0.07004470938897168
2019,TV Dramas,164,2684,0.06110283159463487
2020,International Movies,575,2403,0.23928422804827298
2020,Dramas,535,2403,0.22263836870578443
2020,Comedies,416,2403,0.17311693716188098
2020,International TV Shows,277,2403,0.11527257594673325
2020,Action & Adventure,170,2403,0.07074490220557636
2020,TV Dramas,164,2403,0.06824802330420308
2020,Independent Movies,148,2403,0.06158967956720766
2020,Documentaries,118,2403,0.04910528506034124
2021,Dramas,412,1869,0.22043873729266988
2021,International Movies,408,1869,0.21829855537720708
2021,Comedies,299,1869,0.15997859818084537
2021,International TV Shows,229,1869,0.12252541466024612
2021,Action & Adventure,196,1869,0.10486891385767791
2021,TV Dramas,137,1869,0.07330123060460139
2021,Documentaries,99,1869,0.052969502407704656
2021,Independent Movies,89,1869,0.047619047619047616
