date_added_year,title_count,country_tag_count,distinct_countries,avg_countries_per_title,country_hhi,top_3_country_share
2008,2,2,1,1.0,1.0,1.0
2009,2,2,2,1.0,0.5,1.0
2010,1,1,1,1.0,1.0,1.0
2011,13,15,4,1.1538461538461537,0.6533333333333335,0.9333333333333333
2012,6,7,2,1.1666666666666667,0.7551020408163265,1.0
2013,12,14,4,1.1666666666666667,0.6326530612244896,0.9285714285714285
2014,25,36,9,1.44,0.4320987654320987,0.8333333333333334
2015,86,112,16,1.302325581395349,0.32079081632653056,0.7142857142857143
2016,440,569,52,1.2931818181818182,0.1649642792059574,0.5289982425307557
2017,1224,1528,77,1.2483660130718954,0.13694114744661612,0.5418848167539267
2018,1642,2051,82,1.2490864799025578,0.14282814081963083,0.5665529010238908
2019,2130,2590,74,1.215962441314554,0.17919470490899064,0.571042471042471
2020,166,243,28,1.463855421686747,0.29658419278903947,0.6872427983539093
