date_added_year,type,title_count,year_total,share_within_year
2008,Movie,1,2,0.5
2008,TV Show,1,2,0.5
2009,Movie,2,2,1.0
2010,Movie,1,1,1.0
2011,Movie,13,13,1.0
2012,Movie,3,3,1.0
2013,Movie,6,11,0.5454545454545454
2013,TV Show,5,11,0.45454545454545453
2014,Movie,19,24,0.7916666666666666
2014,TV Show,5,24,0.20833333333333334
2015,Movie,56,82,0.6829268292682927
2015,TV Show,26,82,0.3170731707317073
2016,Movie,253,429,0.5897435897435898
2016,TV Show,176,429,0.41025641025641024
2017,Movie,839,1188,0.7062289562289562
2017,TV Show,349,1188,0.2937710437710438
2018,Movie,1237,1649,0.7501516070345664
2018,TV Show,412,1649,0.2498483929654336
2019,Movie,1424,2016,0.7063492063492064
2019,TV Show,592,2016,0.29365079365079366
2020,Movie,1284,1879,0.6833422032996275
2020,TV Show,595,1879,0.31665779670037253
2021,Movie,993,1498,0.6628838451268357
2021,TV Show,505,1498,0.3371161548731642
